,series,episode_name,book,book_number,episode_number,character_name,dialogue
0,1,The Boy in the Iceberg,Water,1,1,Sokka,"It's not getting away from me this time. Watch and learn, Katara. ''This'' is how you catch a fish."
1,1,The Boy in the Iceberg,Water,1,1,Katara,"Sokka, look!"
2,1,The Boy in the Iceberg,Water,1,1,Katara,"But, Sokka! I caught one!"
3,1,The Boy in the Iceberg,Water,1,1,Katara,Hey!
4,1,The Boy in the Iceberg,Water,1,1,Sokka,"Why is it that every time ''you'' play with magic water, ''I'' get soaked?"
5,1,The Boy in the Iceberg,Water,1,1,Sokka,"Yeah, yeah, ""an ancient art unique to our culture"", blah, blah, blah. Look, I'm just saying that if I had weird powers, I'd keep my weirdness to myself."
6,1,The Boy in the Iceberg,Water,1,1,Katara,You're calling ''me'' weird? I'm not the one who makes muscles at myself every time I see my reflection in the water!
7,1,The Boy in the Iceberg,Water,1,1,Katara,Watch out! Go left! Go left!
8,1,The Boy in the Iceberg,Water,1,1,Katara,You call that ''left?''
9,1,The Boy in the Iceberg,Water,1,1,Sokka,"You don't like my steering? Well, maybe you should've ''waterbended'' us out of the ice."
10,1,The Boy in the Iceberg,Water,1,1,Katara,So it's my fault?
11,1,The Boy in the Iceberg,Water,1,1,Katara,"Ever since mom died, ''I've'' been doing all the work around camp while ''you've'' been off playing soldier!"
12,1,The Boy in the Iceberg,Water,1,1,Sokka,Uh ... Katara ...
13,1,The Boy in the Iceberg,Water,1,1,Katara,"I even wash all the clothes! Have you ever smelled your dirty socks? Let me tell you, ''not pleasant!''"
14,1,The Boy in the Iceberg,Water,1,1,Sokka,"Katara, settle down!"
15,1,The Boy in the Iceberg,Water,1,1,Katara,"No that's it! I'm ''done'' helping you! From now on, you're ''on your own!''"
16,1,The Boy in the Iceberg,Water,1,1,Sokka,"Okay, you've gone from ""weird"" to ""freakish"", Katara."
17,1,The Boy in the Iceberg,Water,1,1,Katara,You mean ''I ''did that?
18,1,The Boy in the Iceberg,Water,1,1,Sokka,Yep. Congratulations.
19,1,The Boy in the Iceberg,Water,1,1,Katara,He's alive! We have to help!
20,1,The Boy in the Iceberg,Water,1,1,Sokka,"Katara, get back here! We don't know what that ''thing'' is!"
21,1,The Boy in the Iceberg,Water,1,1,Zuko,"Finally! Uncle, do you realize what this means?!"
22,1,The Boy in the Iceberg,Water,1,1,Iroh,I won't get to finish my game?
23,1,The Boy in the Iceberg,Water,1,1,Zuko,It means my search is about to come to an end.
24,1,The Boy in the Iceberg,Water,1,1,Zuko,That light came from an ''incredibly'' powerful source! It has to be him!
25,1,The Boy in the Iceberg,Water,1,1,Iroh,"Or it's just the celestial lights. We've been down this road before, Prince Zuko. I don't want you to get too excited over nothing. Please, sit. Why don't you enjoy a cup of calming Jasmine tea?"
26,1,The Boy in the Iceberg,Water,1,1,Zuko,"I don't need any calming tea! I need to capture the Avatar! Helmsman, head a course for the light!"
27,1,The Boy in the Iceberg,Water,1,1,Sokka,Stop!
28,1,The Boy in the Iceberg,Water,1,1,Katara,Stop it!
29,1,The Boy in the Iceberg,Water,1,1,Aang,I need to ask you something ...
30,1,The Boy in the Iceberg,Water,1,1,Katara,What?
31,1,The Boy in the Iceberg,Water,1,1,Aang,Please ... come closer.
32,1,The Boy in the Iceberg,Water,1,1,Katara,What is it?
33,1,The Boy in the Iceberg,Water,1,1,Aang,Will you go penguin sledding with me?
34,1,The Boy in the Iceberg,Water,1,1,Katara,"Uh, sure ... I-I guess."
35,1,The Boy in the Iceberg,Water,1,1,Aang,What's going on here?
36,1,The Boy in the Iceberg,Water,1,1,Sokka,You tell us! How did you get in the ice? And why aren't you frozen?
37,1,The Boy in the Iceberg,Water,1,1,Aang,I'm not sure.
38,1,The Boy in the Iceberg,Water,1,1,Aang,"Appa! Are you all right? Wake up, buddy."
39,1,The Boy in the Iceberg,Water,1,1,Aang,"Ha, ha! You're okay!"
40,1,The Boy in the Iceberg,Water,1,1,Sokka,What ''is'' that thing?
41,1,The Boy in the Iceberg,Water,1,1,Aang,"This is Appa, my flying bison."
42,1,The Boy in the Iceberg,Water,1,1,Sokka,"Right, and this is Katara, my flying sister."
43,1,The Boy in the Iceberg,Water,1,1,Aang,"Don't worry, it'll wash out. So do you guys live around here?"
44,1,The Boy in the Iceberg,Water,1,1,Sokka,''Don't ''answer that! Did you see that crazy bolt of light?! He was probably trying to signal the Fire Navy!
45,1,The Boy in the Iceberg,Water,1,1,Katara,"Oh yeah, I'm sure he's a spy for the Fire Navy. You can tell by that ''evil'' look in his eye. The paranoid one is my brother, Sokka. You never told us your name."
46,1,The Boy in the Iceberg,Water,1,1,Aang,I'm A ... a-a-a-Achoo! I'm Aang.
47,1,The Boy in the Iceberg,Water,1,1,Sokka,You just sneezed ... and flew ten feet in the air!
48,1,The Boy in the Iceberg,Water,1,1,Aang,Really? It felt higher than that.
49,1,The Boy in the Iceberg,Water,1,1,Katara,You're an airbender!
50,1,The Boy in the Iceberg,Water,1,1,Aang,Sure am!
51,1,The Boy in the Iceberg,Water,1,1,Sokka,"Giant light beams, flying bison, airbenders ... I think I got midnight sun madness. I'm going home to where stuff makes sense."
52,1,The Boy in the Iceberg,Water,1,1,Aang,"Well, if you guys are stuck, Appa and I can give you a lift."
53,1,The Boy in the Iceberg,Water,1,1,Katara,We'd love a ride! Thanks!
54,1,The Boy in the Iceberg,Water,1,1,Sokka,Oh no! I'm not getting on that fluffy ''snot'' monster!
55,1,The Boy in the Iceberg,Water,1,1,Katara,"Are you hoping some other kind of monster will come along and give you a ride home? You know, before you ''freeze'' to death?"
56,1,The Boy in the Iceberg,Water,1,1,Aang,"Okay, first time flyers, hold on tight! Appa, yip-yip!"
57,1,The Boy in the Iceberg,Water,1,1,Aang,"Come on, Appa. Yip-yip!"
58,1,The Boy in the Iceberg,Water,1,1,Sokka,"Wow, that was ''truly'' amazing ..."
59,1,The Boy in the Iceberg,Water,1,1,Aang,Appa's just a little tired. A little rest and he'll be soaring through the sky. You'll see.
60,1,The Boy in the Iceberg,Water,1,1,Katara,Why are you smiling at me like that?
61,1,The Boy in the Iceberg,Water,1,1,Aang,"Oh, I was smiling?"
62,1,The Boy in the Iceberg,Water,1,1,Iroh,"I'm going to bed now. Yep, a man needs his rest. Prince Zuko, you need some sleep. Even if you're right, and the Avatar is alive, you won't find him. Your father, grandfather and great-grandfather all tried and failed."
63,1,The Boy in the Iceberg,Water,1,1,Zuko,Because their ''honor'' didn't hinge on the Avatar's capture. Mine ''does.'' This coward's hundred years in hiding are over.
64,1,The Boy in the Iceberg,Water,1,1,Katara,Hey.
65,1,The Boy in the Iceberg,Water,1,1,Aang,Hey. What'cha thinkin' about?
66,1,The Boy in the Iceberg,Water,1,1,Katara,"I guess I was wondering, your being an airbender and all, if you had any idea what happened to the Avatar?"
67,1,The Boy in the Iceberg,Water,1,1,Aang,"Oh, no. I didn't know him. I mean, I knew people that knew him, but I didn't. Sorry."
68,1,The Boy in the Iceberg,Water,1,1,Katara,Okay. Just curious. Good night.
69,1,The Boy in the Iceberg,Water,1,1,Aang,Sleep tight.
70,1,The Boy in the Iceberg,Water,1,1,Katara,"Aang? Aang! Wake up. It's okay, we're in the village now! Come on, get ready. Everyone's waiting to meet you."
71,1,The Boy in the Iceberg,Water,1,1,Katara,"Aang, ''this'' is the entire village. Entire village, Aang."
72,1,The Boy in the Iceberg,Water,1,1,Aang,"Uh, why are they all looking at me like that? Did Appa sneeze on me?"
73,1,The Boy in the Iceberg,Water,1,1,Kanna,"Well, no one has seen an airbender in a hundred years. We thought they were extinct, until my granddaughter and grandson found you."
74,1,The Boy in the Iceberg,Water,1,1,Aang,Extinct?
75,1,The Boy in the Iceberg,Water,1,1,Katara,"Aang, this is my grandmother."
76,1,The Boy in the Iceberg,Water,1,1,Kanna,Call me Gran-Gran.
77,1,The Boy in the Iceberg,Water,1,1,Sokka,"What is this, a weapon? You can't ''stab'' anything with this!"
78,1,The Boy in the Iceberg,Water,1,1,Aang,It's not for stabbing! It's for airbending.
79,1,The Boy in the Iceberg,Water,1,1,Village girl,Magic trick! Do it again!
80,1,The Boy in the Iceberg,Water,1,1,Aang,"Not magic, airbending. It lets me control the air currents around my glider and fly."
81,1,The Boy in the Iceberg,Water,1,1,Sokka,"Ya know, last time I checked, humans ''can't fly!''"
82,1,The Boy in the Iceberg,Water,1,1,Aang,Check again!
83,1,The Boy in the Iceberg,Water,1,1,Village girl,He's flying!
84,1,The Boy in the Iceberg,Water,1,1,Village girl,It's amazing!
85,1,The Boy in the Iceberg,Water,1,1,Sokka,My watchtower!
86,1,The Boy in the Iceberg,Water,1,1,Katara,That was ''amazing!''
87,1,The Boy in the Iceberg,Water,1,1,Sokka,"Great. You're an airbender, Katara's a waterbender. Together you can just waste time ''all'' day long."
88,1,The Boy in the Iceberg,Water,1,1,Aang,You're a waterbender?
89,1,The Boy in the Iceberg,Water,1,1,Katara,"Well, sort of. Not yet."
90,1,The Boy in the Iceberg,Water,1,1,Kanna,"All right, no more playing. Come on, Katara, you have chores."
91,1,The Boy in the Iceberg,Water,1,1,Katara,"I told you, he's the real thing Gran-Gran! I finally found a bender to teach me!"
92,1,The Boy in the Iceberg,Water,1,1,Kanna,"Katara, try not to put all your hopes in this boy."
93,1,The Boy in the Iceberg,Water,1,1,Katara,But he's special! I can tell! I sense he's filled with ''much'' wisdom.
94,1,The Boy in the Iceberg,Water,1,1,Aang,See? Now my tongue is stuck to my staff!
95,1,The Boy in the Iceberg,Water,1,1,Iroh,Again.
96,1,The Boy in the Iceberg,Water,1,1,Iroh,"No! Power in firebending comes from the breath , not the muscles. The breath becomes energy in the body. The energy extends past your limbs and becomes: fire! Get it right this time."
97,1,The Boy in the Iceberg,Water,1,1,Zuko,Enough! I've been drilling this sequence all day. Teach me the next set! I'm ''more'' than ready!
98,1,The Boy in the Iceberg,Water,1,1,Iroh,"No, you are impatient. You have yet to master your basics. Drill it again!"
99,1,The Boy in the Iceberg,Water,1,1,Zuko,The sages tell us that the Avatar is the last airbender. He must be over a hundred years old by now. He's had a century to master the four elements! I'll need more than basic firebending to defeat him. You ''will'' teach me the advanced set!
100,1,The Boy in the Iceberg,Water,1,1,Iroh,"Very well, but first, I must finish my roast duck."
101,1,The Boy in the Iceberg,Water,1,1,Sokka,"Now men, it's important that you show no fear when you face a firebender. In the Water Tribe, we fight to the last man standing! For without courage, how can we call ourselves men?"
102,1,The Boy in the Iceberg,Water,1,1,Southern Water Tribe boy,I gotta pee!
103,1,The Boy in the Iceberg,Water,1,1,Sokka,"Listen! Until your fathers return from the War, they're counting on ''you'' to be the men of this tribe, and that means ''no potty breaks''!"
104,1,The Boy in the Iceberg,Water,1,1,Southern Water Tribe boy,But I really gotta go!
105,1,The Boy in the Iceberg,Water,1,1,Sokka,"Okay, who else has to go?"
106,1,The Boy in the Iceberg,Water,1,1,Katara,Have you seen Aang? Gran-Gran said he disappeared over ''an hour'' ago.
107,1,The Boy in the Iceberg,Water,1,1,Aang,Wow! ''Everything'' freezes in there!
108,1,The Boy in the Iceberg,Water,1,1,Sokka,"Uh! Katara, get him out of here! This lesson is for warriors ''only''!"
109,1,The Boy in the Iceberg,Water,1,1,Village boy,Whee!
110,1,The Boy in the Iceberg,Water,1,1,Sokka,Stop! Stop it right now! What's wrong with you?! We don't have time for fun and games with ''the War'' going on!
111,1,The Boy in the Iceberg,Water,1,1,Aang,What war? What are you talking about?
112,1,The Boy in the Iceberg,Water,1,1,Sokka,"You're kidding, right?"
113,1,The Boy in the Iceberg,Water,1,1,Aang,Penguin!
114,1,The Boy in the Iceberg,Water,1,1,Sokka,"He's kidding, right?"
115,1,The Boy in the Iceberg,Water,1,1,Katara,Aang?
116,1,The Boy in the Iceberg,Water,1,1,Aang,"Hey, come on little guy. Wanna go sledding? Heh heh. I have a way with animals."
117,1,The Boy in the Iceberg,Water,1,1,Katara,"Hehehe, Aang, I'll help ''you'' catch a penguin if you teach ''me'' waterbending."
118,1,The Boy in the Iceberg,Water,1,1,Aang,"You got a deal! Just one little problem ... I'm an airbender, not a waterbender. Isn't there someone in your tribe who can teach you?"
